,time,id,name,text
0,Thu Jul 05 23:36:20 +0000 2018,gifu_sef,岐阜セフレ募集【裏垢】＠相互,"★岐阜セフレ募集情報更新！

内容：今から生射精エッチしませんか？欲求不満、レスの人いませんか？中だししたい人どんどんしてね。
名前：♀実花
年齢：34歳
地域：瑞浪市

彼女の連絡先⇒当アカウントのプロフ欄URLから詳細確認

7月6日(金)8時36分の情報です♪"
1,Thu Jul 05 23:29:12 +0000 2018,akito1123,AKITO,"19号朝から追突事故か〜💦
釜戸駅超えてちょっと恵那方面行くと恵那から瑞浪車線でハイエースにタントが追突してた💦
タント助手席と運転席エアバックでてたけど大丈夫かな💦"
2,Thu Jul 05 23:27:02 +0000 2018,jr313_8000bot,313系8000番台bot,|ホームライナー|瑞浪
3,Thu Jul 05 23:15:27 +0000 2018,gifu_sf,岐阜セフレ募集,"★岐阜セフレ募集情報更新！

内容：お１人だけ、私のエッチな火遊びにお付き合いして下さる男性を探してます。ライン、アドレスの交換も出来ますか…
名前：♀MANA
年齢：26歳
地域：瑞浪市

連絡先⇒当アカウントのプロフ欄URLから詳細確認

金曜日8時15分の情報です。"
4,Thu Jul 05 23:06:20 +0000 2018,Patchouli_MR,パチュリー・ミノーレッジ,ホームライナー瑞浪2号は朝に瑞浪駅始発で運行されるホームライナーよ。昔は名古屋始発のホームライナー瑞浪もあったようだけど今は無いわ
5,Thu Jul 05 23:04:16 +0000 2018,kuwakuwamarikit,まりきち,@miruku_news ( *・ω・)ノやあ、久しぶり。一昨日は2時間で終わって、昨日は瑞浪警報、今日は東濃全域に警報……。休みすぎて暇なのですがw部活も出来てないし｡ﾟ(ﾟ^ω^ﾟ)ﾟ｡
6,Thu Jul 05 22:58:23 +0000 2018,Meiekibell_bot,名古屋駅のベルBot Ver1.0,ﾋﾟｬｰｰｰ---ｰｰｰｰ(ﾋﾟﾝ ﾎﾟﾝ まもなく 8番線から 快速 瑞浪行きが 発車します ドアにご注意ください)ｰｰｰｰｰｰｰｰｰｰｰ
7,Thu Jul 05 22:33:35 +0000 2018,t_nobukatsu,武田太郎信勝,天正２年（１５７４年）１月２７日、東美濃に侵攻した父が明智城（恵那市）を包囲したとの報が織田方に届きます。父は２月５日までに明智城を降伏させ、櫛原城（恵那市）や神箆城（瑞浪市）など十八の城砦を攻略した上で兵を引きました。代替わりの合戦は武田軍の圧勝でした。
8,Thu Jul 05 22:12:17 +0000 2018,gifu_sf,岐阜セフレ募集,"★岐阜セフレ募集速報！

内容：エッチしたいナ❤すぐホテルに連れてってくれる方を希望してます！おばさんだからそこはご了承を。
名前：♀みな。
年齢：43歳
地域：瑞浪市

連絡先⇒当アカウントのプロフ欄URLから詳細確認

金曜日7時12分の情報です。"
9,Thu Jul 05 21:06:59 +0000 2018,lepton0726,れぷとん＠心霊スポット最前線(半bot),#岐阜心霊スポット【No.1126:エロ本小屋】岐阜県瑞浪市日吉町にある廃屋。名称は裁断されたエロ本が大量に不法投棄されていた事に由来する。「エロ本を長年に亘り不法投棄した末、餓死してしまった人物の霊が出没する」という噂がある。https://t.co/xeG3cRXcTr
10,Thu Jul 05 20:58:09 +0000 2018,Timelor75952424,Timelord,皆様、おはようございますm(_ _)m今日も雨で危険地域が増えています。危ないところには近づかないように(&gt;_&lt;｡)1便は、恵那方面～瑞浪方面です🚚視界も狭いので、今日も1日安全運転で('-^*)okではでは出発です🚚 https://t.co/FJfwXw3TjO
11,Thu Jul 05 20:12:26 +0000 2018,gi_g_i_fu,岐阜セフレ募集＠相互フォロー,"❤️岐阜セフレ募集

内容：たくさんイかせてください！！
名前：♀サリハ
年齢：24歳
地域：瑞浪市

連絡先→当アカウントのプロフ欄URLから詳細確認

金曜日5時12分の情報。"
12,Thu Jul 05 19:57:49 +0000 2018,meieki_bot,名古屋駅bot,"快速|中津川
停車駅
名古屋、金山、鶴舞、千種、大曽根、勝川、春日井、高蔵寺、多治見、土岐市、瑞浪、釜戸、武並、恵那、美乃坂本、中津川"
