,time,id,name,text
0,Thu Jul 05 23:53:21 +0000 2018,sorakuro8,そらハチ,@Mizunami_3638 大規模すぎる！？
1,Thu Jul 05 23:12:33 +0000 2018,Mizunami_3638,🍵水波 隼人_(　_´ω`)🌽,雨と湿気のせいで右手に封印された邪龍スライムが暴れて痛い
2,Thu Jul 05 23:11:41 +0000 2018,Mizunami_3638,🍵水波 隼人_(　_´ω`)🌽,@sorakuro8 8000人記念フォロワー参加型たこ焼き探し大会!本物のたこ焼きはどれだ!
3,Thu Jul 05 23:04:53 +0000 2018,brfx3160,brfx3160@蛍,@Mizunami_3638 ありがとうでした!!(過去形)
4,Thu Jul 05 23:02:35 +0000 2018,Mizunami_3638,🍵水波 隼人_(　_´ω`)🌽,@brfx3160 誕生日おめででした(過去形)
5,Thu Jul 05 22:59:04 +0000 2018,Mizunami_3638,🍵水波 隼人_(　_´ω`)🌽,"N[パジャマ]スライム
SR[執事]スライム
R[手を繋ごう]スライム
SUR[バレンタイン]スライム
R[いつもの]スライム
SR[遊園地]スライム
SSR[教会]スライム
SR[人魚]スライム
N[スクール水着]スライム
SS… https://t.co/tZ1Hx1D4Jy"
6,Thu Jul 05 19:25:02 +0000 2018,Mizunami_3638,🍵水波 隼人_(　_´ω`)🌽,"N[スクール水着]0(:3 _ )～
N[うさみみ]0(:3 _ )～
N[ワンピース]0(:3 _ )～
SSR[お菓子の家]0(:3 _ )～
SR[ホワイトデー]0(:3 _ )～
N[ねこみみ]0(:3 _ )～
SSR[… https://t.co/Qs72cfmFCR"
7,Thu Jul 05 19:21:47 +0000 2018,Mizunami_3638,🍵水波 隼人_(　_´ω`)🌽,腕が痛くて１，２時間くらいで起きてしまう、なんでスライムなのに物理無効切ってたんだろうなァ!
8,Thu Jul 05 19:04:31 +0000 2018,Mizunami_3638,🍵水波 隼人_(　_´ω`)🌽,@ClioneChanDiary 気長にLINEポイント貯めてまってますっ!
9,Thu Jul 05 14:01:00 +0000 2018,gotouchimoe,ご当地萌えキャラbot,"【岐阜県】瑞浪Mio（瑞浪市化石博物館）。博物館のイメージキャラクター。短い金髪ツインテに、カウボーイのような服装で活発さがうかがえる。
https://t.co/pm467Lyx0D"
