,time,id,name,text
0,Sun Jul 08 05:00:19 +0000 2018,muimui366,むいむい,【ニコ生視聴中】【渋谷ハジメ、勇気ちひろ出演】町バーチャルキャスト2018 in 三重県多気町 おたコス おいないTakiコスプレ祭 https://t.co/BPQlsIroPN #chokaigitour #町会議
1,Sun Jul 08 05:00:19 +0000 2018,shimokitadocomo,ドコモショップ下北沢北口店,"【 #Twitter限定 】
#月末まで🎵
#最新機種ではありません が、機種追加❗️
#MNP #在庫限り です❗️
【機種】#Android
#SC02J #SO04J
価格など詳しくはお電話下さい。
※下取り等、各種条件有り… https://t.co/SPlxTWsFtl"
2,Sun Jul 08 05:00:17 +0000 2018,c_t_yn,ちーかま,🐓だし8時くらいに箱ついたら間に合うかな？？と思ってるのでまだお家〜でもはやめに渋谷でてファンデ買わなきゃ〜だるる
3,Sun Jul 08 05:00:15 +0000 2018,rare_baito,単発バイト犬(関東),"＼13000円@ヒカリエ！／
≪7/23~9/17！アーティスト展覧会！≫
■日給13000円~+交通費+食事代！
■渋谷ヒカリエ｜1日のみOK
https://t.co/V1mUHkCMdX"
4,Sun Jul 08 05:00:14 +0000 2018,nogi46m_hori,みえなみた⊿,@noginogi0927s 今渋谷です！！
5,Sun Jul 08 05:00:14 +0000 2018,Hgs46226,🇧🇷 り ょ ー た ん 🌱,"I'm at ガスト 渋谷道玄坂店 in 渋谷区, 東京都 https://t.co/S7fhJs64EH"
6,Sun Jul 08 05:00:13 +0000 2018,manas20630,まなみん,"渋谷暑すぎる(´；ω；｀)干からびる〜

一人でご飯屋さん入れん"
7,Sun Jul 08 05:00:13 +0000 2018,kindley_sale,Kindleビジネス書セール情報 - Kindley,"【80%OFF】¥1,620 → ¥324
難民高校生 ― 絶望社会を生き抜く「私たち」のリアル(★★★★☆4.1)
“高校時代、私は渋谷で月25日を過ごす“難民高校生”だった。「居場所を失くした若者」として希望のない生活を送って… https://t.co/WGpyPBrwDx"
8,Sun Jul 08 05:00:13 +0000 2018,dailycommoditie,dailycommodities,"美味しそう(*'ω'*)
#カフェ #スイーツ

フレンチトーストが3段のタワーに！渋谷の「JINNAN CAFE」でフォトジェニックなスイーツを食べてきた
https://t.co/wsFttTpxfi"
9,Sun Jul 08 05:00:11 +0000 2018,9vn9KTSrSoS7751,ひなこ,デザートの後は今日のメインイベント「嵐会」の為渋谷へ移動✨✨画面の大きさ分かるかな？？ちょー大画面でuntitledの鑑賞会❤❤二人で盛り上がっちゃいました🎉楽しかったなぁ。またやりたいねぇ😉 https://t.co/v1KngPSJRJ
10,Sun Jul 08 05:00:08 +0000 2018,yasRX78,ヤス(彩姐 推し),"8月15日(水)
歌姫乱舞 其七 ～真夏乃卵男～
【会場】渋谷eggman　　　
【時間】16:30開場 17:00開演(予定)
【料金】前売3000円 当日3500円(+1D)
【出演】迫畠彩/大河内美紗/AiLi/柳田絵美花/… https://t.co/rYdWKlej8p"
11,Sun Jul 08 05:00:08 +0000 2018,ncmushi,むし,"@asu_yt_111224 初めまして、こんにちは。検索よりご連絡有難うございます。こちらぜひ渋谷お手渡しにて阿修くん2⇔殿1不動1でのご交換お願い出来ればと思います！
早速となりますがお取引の為フォローさせて頂いても宜しいでしょうか？どうぞ宜しくお願い致します。"
12,Sun Jul 08 05:00:08 +0000 2018,GSB_Acoustic,G-CLUB SHIBUYA アコフロア,【GCLUB渋谷6F #マーティン ギター専門フロア】今月は半期決算＆ボーナスセール！マーティンカスタムモデルセール価格にてご案内中 (⦿＿⦿)  Martin 【USED】CTM 7 Style28 '15年製 通常価格￥375… https://t.co/5BLXuHjoF7
13,Sun Jul 08 05:00:07 +0000 2018,baito_hakase,単発バイト博士(関東),"＼13000円@ヒカリエ！／
≪7/23~9/17！アーティスト展覧会！≫
■日給13000円~+交通費+食事代！
■渋谷ヒカリエ｜1日のみOK
https://t.co/VP3GK6bRTy"
14,Sun Jul 08 05:00:06 +0000 2018,na__mi625,∞Nanami∞,"今日で
関ジャニ∞渋谷すばる
テレビ出演ラスト。。

。 https://t.co/HdfgTXPtab"
15,Sun Jul 08 05:00:06 +0000 2018,taiga_oz,小澤トシカズ,渋谷行くのに全身黒紺忍者スタイルになってしまった #いつも
