,time,id,name,text
0,Fri Jul 06 23:56:00 +0000 2018,saacha28,さとちゃ@VAPER,"お出掛けハーンチェ(*´ω`*)恵那行ってから飯田行きます(｀･ω･´)
#VAPE https://t.co/YoXz94wnGb"
1,Fri Jul 06 23:39:23 +0000 2018,nananoko_bot,nananoko_bot,【恵那】アァッ！？アンタが先に吹っ掛けて来たんだろ！！私はぶつかった事は謝った！なのに何なんだその態度はッ！！
2,Fri Jul 06 23:27:02 +0000 2018,jr313_8000bot,313系8000番台bot,"この列車はホームライナー中津川1号
中津川行きです。途中の停車駅は金山、鶴舞、千種、大曽根、多治見、土岐市、瑞浪、恵那、終点の中津川です。"
3,Fri Jul 06 23:24:37 +0000 2018,r_21_gifu,岐阜県交通情報(非公式),"※解除※
恵那御嵩線(６５号線) 下り　区間：瑞浪市釜戸町－瑞浪市大湫町
大雨のため通行止　は解除されました (7/7 08:21)"
4,Fri Jul 06 23:24:35 +0000 2018,r_21_gifu,岐阜県交通情報(非公式),"※解除※
恵那御嵩線(６５号線) 上り　区間：瑞浪市大湫町－瑞浪市釜戸町
大雨のため通行止　は解除されました (7/7 08:21)"
5,Fri Jul 06 23:24:01 +0000 2018,hahahaking758,ハハハking,"今朝のZIPFMのcasual,usualで
アズ姉が恵那 博石館の
七夕イベント紹介してたけど
そこで流れた歌がOMDの
WALKING ON THE MILKY WAYって
そりゃZIPだから分かるけど
そこはライヴで唄うMI… https://t.co/R14KRXOZZB"
6,Fri Jul 06 23:22:47 +0000 2018,ChisakiHiromi,chisaki hiromi,@hodachrome2 めっちゃ素敵な作品ーー💕💕恵那って行ったことないけど一度行ってみたい場所です(*´꒳`*)
7,Fri Jul 06 23:11:48 +0000 2018,komeda_bot,コメダ珈琲bot,岐阜県コメダ珈琲恵那長島店でも8時11分やで。 #jikoku #bot #非公式 #komeda #gifu
8,Fri Jul 06 23:09:49 +0000 2018,EMARBl7WrFSfGl6,岐阜の日本一bot,"恵那市岩村町富田地区は、１９８９年国土問題研究会より『農村景観日本一』になりました。富田地区には日本一の農村風景が一望できる展望台があります。 
周りを山々に囲まれ、あたり一面に広がる田園、そこに点在する昔ながらの農村風景は、日本のふるさとを感じさせます。"
9,Fri Jul 06 22:57:48 +0000 2018,meieki_bot,名古屋駅bot,"快速|中津川
停車駅
名古屋、金山、鶴舞、千種、大曽根、勝川、春日井、高蔵寺、多治見、土岐市、瑞浪、釜戸、武並、恵那、美乃坂本、中津川"
10,Fri Jul 06 22:52:25 +0000 2018,gifu_sef,岐阜セフレ募集【裏垢】＠相互,"★岐阜セフレ募集情報更新！

内容：今から会っておっぱいをひたすら舐めてくれる方を募集しています(＾-＾)よろしくお願いします！…
名前：♀有希
年齢：20歳
地域：恵那市

彼女の連絡先⇒https://t.co/H7hzMgOFwp

7月7日(土)7時52分の情報です♪"
11,Fri Jul 06 22:41:25 +0000 2018,gifuprefwe43,7/9～11お休み岐阜、尾張お天気情報&お知らせ,"【岐阜県】#大雨警報 #洪水警報
警報状況午前7時現在
大雨警報（土砂災害）山県市、本巣市、揖斐川町、中津川市、恵那市、関市、美濃市、郡上市、川辺町、七宗町、白川町、東白川村、飛騨地方"
