,time,id,name,text
0,Fri Jul 06 23:59:17 +0000 2018,racing4004,ふじぱn...✍,"瑞浪だっけ

遠いかなあ"
1,Fri Jul 06 23:57:15 +0000 2018,gifu_sf,岐阜セフレ募集,"★岐阜童貞卒業情報！

内容：おじさん大歓迎。旦那と別居で夜でも会えます。定期、泊まり、車内も募集しています❤
名前：♀由佳里
年齢：32歳
地域：瑞浪市

連絡先⇒当アカウントのプロフ欄URLから詳細確認

土曜日8時57分の情報です。"
2,Fri Jul 06 23:27:02 +0000 2018,jr313_8000bot,313系8000番台bot,"この列車はホームライナー中津川1号
中津川行きです。途中の停車駅は金山、鶴舞、千種、大曽根、多治見、土岐市、瑞浪、恵那、終点の中津川です。"
3,Fri Jul 06 23:24:37 +0000 2018,r_21_gifu,岐阜県交通情報(非公式),"※解除※
恵那御嵩線(６５号線) 下り　区間：瑞浪市釜戸町－瑞浪市大湫町
大雨のため通行止　は解除されました (7/7 08:21)"
4,Fri Jul 06 23:24:35 +0000 2018,r_21_gifu,岐阜県交通情報(非公式),"※解除※
恵那御嵩線(６５号線) 上り　区間：瑞浪市大湫町－瑞浪市釜戸町
大雨のため通行止　は解除されました (7/7 08:21)"
5,Fri Jul 06 22:57:48 +0000 2018,meieki_bot,名古屋駅bot,"快速|中津川
停車駅
名古屋、金山、鶴舞、千種、大曽根、勝川、春日井、高蔵寺、多治見、土岐市、瑞浪、釜戸、武並、恵那、美乃坂本、中津川"
6,Fri Jul 06 22:57:10 +0000 2018,jr313_8000bot,313系8000番台bot,|快速|瑞浪
7,Fri Jul 06 22:29:04 +0000 2018,koronesi2,ころねし@クソザコ,ﾄﾞﾗｺｺ! 岐阜県瑞浪市日吉町 [ドラココなう！iPhone] #doracoconow
8,Fri Jul 06 22:24:39 +0000 2018,r_21_gifu,岐阜県交通情報(非公式),"※解除※
恵那御嵩線(６５号線) 下り　区間：瑞浪市釜戸町付近
大雨のため通行止　は解除されました (7/7 07:21)"
9,Fri Jul 06 22:24:37 +0000 2018,r_21_gifu,岐阜県交通情報(非公式),"※解除※
恵那御嵩線(６５号線) 下り　区間：恵那市三郷町佐々良木－瑞浪市釜戸町
大雨のため通行止　は解除されました (7/7 07:21)"
10,Fri Jul 06 22:24:36 +0000 2018,r_21_gifu,岐阜県交通情報(非公式),"※解除※
恵那御嵩線(６５号線) 上り　区間：瑞浪市釜戸町－恵那市三郷町佐々良木
大雨のため通行止　は解除されました (7/7 07:21)"
11,Fri Jul 06 22:24:35 +0000 2018,r_21_gifu,岐阜県交通情報(非公式),"※解除※
恵那御嵩線(６５号線) 上り　区間：瑞浪市釜戸町付近
大雨のため通行止　は解除されました (7/7 07:21)"
12,Fri Jul 06 22:14:04 +0000 2018,koronesi2,ころねし@クソザコ,ﾄﾞﾗｺｺ! 岐阜県瑞浪市一色町 [ドラココなう！iPhone] #doracoconow
13,Fri Jul 06 22:13:35 +0000 2018,Michael49429441,Macelle Yamamoto,BCY - バードセンターやまもと瑞浪駅前店に写真を投稿しましたhttps://t.co/xaCEUGnsO4
14,Fri Jul 06 22:02:58 +0000 2018,Michael49429441,Macelle Yamamoto,BCY - バードセンターやまもと瑞浪駅前店に写真を投稿しましたhttps://t.co/6Ox0d8a1Gf
15,Fri Jul 06 21:57:34 +0000 2018,tokai_highway_,高速道路渋滞情報（東海：非公式）,"中央道：06時50分現在
☆事故処理済（下り＠瑞浪天徳バス停付近 (屏風山ＰＡ→瑞浪ＩＣ間)）"
16,Fri Jul 06 20:52:34 +0000 2018,tokai_highway_,高速道路渋滞情報（東海：非公式）,"中央道：05時45分現在
×事故：下り＠瑞浪天徳バス停付近 (屏風山ＰＡ→瑞浪ＩＣ間)
https://t.co/1D218stw2P"
17,Fri Jul 06 20:17:34 +0000 2018,tokai_highway_,高速道路渋滞情報（東海：非公式）,"中央道：05時10分現在
☆通行止解除（上り＠中津川ＩＣ→飯田山本ＩＣ、下り＠飯田山本ＩＣ→中津川ＩＣ）
×事故：下り＠瑞浪天徳バス停→瑞浪ＩＣ
https://t.co/1D218stw2P"
18,Fri Jul 06 20:12:33 +0000 2018,tokai_highway_,高速道路渋滞情報（東海：非公式）,"中央道：05時05分現在
■通行止：上り＠中津川ＩＣ→飯田山本ＩＣ（雨）
■通行止：下り＠飯田山本ＩＣ→中津川ＩＣ（雨）
×事故：下り＠瑞浪天徳バス停→瑞浪ＩＣ
https://t.co/1D218stw2P"
19,Fri Jul 06 20:07:32 +0000 2018,tokai_highway_,高速道路渋滞情報（東海：非公式）,"中央道：05時00分現在
■通行止：上り＠中津川ＩＣ→飯田山本ＩＣ（雨）
■通行止：下り＠飯田山本ＩＣ→中津川ＩＣ（雨）
×事故：下り＠瑞浪天徳バス停付近 (屏風山ＰＡ→瑞浪ＩＣ間)
×事故：上り＠瑞浪ＩＣ付近
https://t.co/1D218stw2P"
20,Fri Jul 06 20:02:31 +0000 2018,tokai_highway_,高速道路渋滞情報（東海：非公式）,"中央道：04時55分現在
■通行止：上り＠中津川ＩＣ→飯田山本ＩＣ（雨）
■通行止：下り＠飯田山本ＩＣ→中津川ＩＣ（雨）
△渋滞：上り＠恵那峡ＳＡ付近 3km
×事故：下り＠瑞浪天徳バス停付近 (屏風山ＰＡ→瑞浪ＩＣ間)
https://t.co/1D218stw2P"
21,Fri Jul 06 19:57:09 +0000 2018,jr313_8000bot,313系8000番台bot,|普通|瑞浪
22,Fri Jul 06 19:27:00 +0000 2018,jr313_8000bot,313系8000番台bot,この列車は快速瑞浪行きです
23,Fri Jul 06 19:26:20 +0000 2018,gifu_sf,岐阜セフレ募集,"★岐阜童貞卒業情報！

内容：支配されることに悦びを感じてしまいます。私のような年齢の変態でよければ拾ってくれませんか？
名前：♀かすみ
年齢：41歳
地域：瑞浪市

連絡先⇒当アカウントのプロフ欄URLから詳細確認

土曜日4時26分の情報です。"
24,Fri Jul 06 19:22:14 +0000 2018,gi_g_i_fu,岐阜セフレ募集＠相互フォロー,"❤️岐阜セフレ募集

内容：ラブラブしてすごせるかな？仲良くしてください。
名前：♀reima
年齢：32歳
地域：瑞浪市

連絡先→当アカウントのプロフ欄URLから詳細確認

土曜日4時22分の情報。"
25,Fri Jul 06 19:21:16 +0000 2018,maasa___,まあさ@7/15Pyxisリリイベ,"I'm at ミニストップ 屏風山PA上り店 in 瑞浪市, 岐阜県 https://t.co/yS2TTetY0c"
26,Fri Jul 06 18:47:33 +0000 2018,sophia_fd3s,はくちょー⛵7/15志賀オフ,"I'm at 屏風山PA (下り) in 瑞浪市, 岐阜県 https://t.co/7K1KfWXmGJ"
27,Fri Jul 06 18:26:57 +0000 2018,jr313_8000bot,313系8000番台bot,|快速|瑞浪
28,Fri Jul 06 17:54:16 +0000 2018,gi_g_i_fu,岐阜セフレ募集＠相互フォロー,"❤️岐阜セフレ募集

内容：今日会える方を探しています。優しい方気になったらメッセージください♪
名前：♀なつこ
年齢：19歳
地域：瑞浪市

連絡先→当アカウントのプロフ欄URLから詳細確認

土曜日2時54分の情報。"
29,Fri Jul 06 16:02:05 +0000 2018,yu_yu6101,ゆーた/AJ,"@tmm_jh 
たまみさん！ずっとシンメで一緒に踊れるのかなと思いきや蒲郡で離れるという
瑞浪はまたシンメなんでそんときはよろしくお願いしますです😆"
30,Fri Jul 06 15:20:41 +0000 2018,sunarion48,スナリオン@ れなひゅー親衛隊,"@hiiyan_sgmeamdn さすが仕事が早い‼
だが恵那市には無かったけど
瑞浪か土岐までいくしかないかぁ。"
31,Fri Jul 06 15:15:48 +0000 2018,Kasugai_Sta,春日井駅bot(CF07),まもなく、0:26に「瑞浪」行き終発が参ります。高蔵寺から先の駅への最終列車となっています。お乗り遅れのないようお願いいたします。
32,Fri Jul 06 14:56:18 +0000 2018,JR_KTNagoyaLast,JR名古屋・近鉄名古屋 終電案内,"近鉄名古屋00時01分発
普通　富吉
米野、黄金、烏森、近鉄八田、伏屋、戸田、近鉄蟹江、富吉

JR
東海道本線00時02分発
普通　大垣
枇杷島、清洲、稲沢、尾張一宮、木曽川、岐阜、西岐阜、穂積、大垣
中央本線00時05分発
快速　瑞浪
多治見、土岐市、瑞浪"
33,Fri Jul 06 14:26:17 +0000 2018,JR_KTNagoyaLast,JR名古屋・近鉄名古屋 終電案内,"近鉄名古屋
23時29分発　普通 四日市
佐古木
※非推奨ながら、23時40分発の急行に乗り近鉄弥富で折り返す方法もある

JR
中央本線23時31分発
普通　瑞浪
高蔵寺乗継00時03分発瀬戸口行き
愛知環状鉄道　中水野、瀬戸市、瀬戸口"
34,Fri Jul 06 14:20:48 +0000 2018,Kasugai_Sta,春日井駅bot(CF07),まもなく、23:28に「中津川」行き終発が参ります。瑞浪から先の駅への最終列車となっています。お乗り遅れのないようお願いいたします。
35,Fri Jul 06 14:20:07 +0000 2018,tohru_nishiura,プレイフル 西浦 徹,wwwwww 明日の瑞浪練習、、諦めた、、wwwwww
36,Fri Jul 06 14:17:19 +0000 2018,yamati00,土岐をかけるやまだ,"瑞浪市危機管理室より。

昨日から続いていた大雨警報が解除されました。このため、避難準備・高齢者等避難を解除し避難所を閉鎖します。 https://t.co/gsUH6CYGMG"
37,Fri Jul 06 13:57:07 +0000 2018,jr313_8000bot,313系8000番台bot,|ホームライナー|瑞浪
38,Fri Jul 06 13:54:48 +0000 2018,OneOkRock_bb,坂口湧輝,@oku_yuna_0927 @rosetta_Asaka 今瑞浪解除されたってさ！もー終わったね、うん
39,Fri Jul 06 13:42:16 +0000 2018,gi_g_i_fu,岐阜セフレ募集＠相互フォロー,"❤️岐阜セフレ募集

内容：一度きりじゃなく長く欲求を解消できるパートナーが欲しいです、、  本音は毎日でもしたいくらい溜まってますが笑 仕事柄、…
名前：♀かな
年齢：18歳
地域：瑞浪市

連絡先→当アカウントのプロフ欄URLから詳細確認

金曜日22時42分の情報。"
40,Fri Jul 06 13:25:57 +0000 2018,gifu_sf,岐阜セフレ募集,"★岐阜セフレ募集速報！

内容：どんどん連絡欲しいな♪少ないやり取りでスムーズに会いたいですヽ(*´∀｀)ノもちろんえちありでヽ(・∀・)ノ
名前：♀ねね
年齢：21歳
地域：瑞浪市

連絡先⇒当アカウントのプロフ欄URLから詳細確認

金曜日22時25分の情報です。"
41,Fri Jul 06 13:09:45 +0000 2018,gi_g_i_fu,岐阜セフレ募集＠相互フォロー,"❤️岐阜セフレ募集

内容：ただいけばいい…みたいなあっさりしたｴｯﾁではなくて… 痴女になって言葉や体でやらしく責めたり焦らしたり､おとなのおも…
名前：♀さりな
年齢：33歳
地域：瑞浪市

連絡先→当アカウントのプロフ欄URLから詳細確認

金曜日22時9分の情報。"
42,Fri Jul 06 12:28:42 +0000 2018,Comptonia1998,こんぷとにあ,昔の瑞浪でのホタテ展で書いたであろうホタテのメモがたくさん出てきて自分は昔からペクテンオタクだったのだなあなどと思った
43,Fri Jul 06 12:21:14 +0000 2018,kpkp_sun,ぶるこ,@remy101010 瑞浪は大丈夫やろ〜、知らんけど
44,Fri Jul 06 12:06:16 +0000 2018,8957e494f16b4ac,taku(ya),またみんなと荒磯松とか瑞浪とか名大とか行きたいよ😂
45,Fri Jul 06 12:00:43 +0000 2018,Patchouli_MR,パチュリー・ミノーレッジ,名古屋方面の最終列車は【多治見駅22:51、土岐市駅22:45、瑞浪駅22:39、釜戸駅22:33、武並駅22:28、恵那駅22:23、美乃坂本駅22:18、中津川駅22:12】よ
46,Fri Jul 06 11:44:26 +0000 2018,SPARKS_0505,さりな,"瑞浪か土岐の祭りいくひと？？
ちなみにさりな両方いきます🙋💗"
47,Fri Jul 06 11:40:16 +0000 2018,MeshidenSatosui,Seiku-Rin,"I'm at スーパーセンターオークワ瑞浪店 in 瑞浪市, 岐阜県 https://t.co/SkLaJHOr4o"
48,Fri Jul 06 11:26:30 +0000 2018,gifuyoshi,yoshi,"【避難情報(岐阜)】
以下の自治体で避難に関する情報が発表されています。 
高山市、関市、中津川市、美濃市、瑞浪市、恵那市、美濃加茂市、山県市、飛騨市、郡上市、下呂市、八百津町、白川町、東白川村"
49,Fri Jul 06 11:23:38 +0000 2018,Shibasuke_1048,柴山俊哉,"フェスティカサーキット瑞浪　遠征総まとめ ー アメブロを更新しました
#ヒーローズ1048STYLE
https://t.co/5k6C6npfZm"
50,Fri Jul 06 11:06:10 +0000 2018,1stchinupro,chinupro,"@kazuhide33 瑞浪の従兄弟が作ってるやつです。臭いけど、素揚げして食べると旨いですよ。
明日は気を付けて行ってきて下さい。今年は二号筏も調子がいいようです。
60待ってます。"
51,Fri Jul 06 10:55:07 +0000 2018,fuutokoushiki,「風都探偵」公式／単行本60万部突破！,"三洋堂書店志段味店様、瑞浪中央店様でも複製原画を大量に展示していただきました。
＃風都探偵　＃仮面ライダーＷ https://t.co/uAG6KKXyCZ"
52,Fri Jul 06 10:37:25 +0000 2018,basarajp,夢中人〈有賀和秋）,バサラ瑞浪普及振興会から3名で先程、エフエムPIPIの生放送に出演しました。バサラ瑞浪や瑞浪七夕の紹介したけど、途中からシラフで宴会モード（笑）聞いた人いるかな？(^^)
53,Fri Jul 06 10:32:34 +0000 2018,tokai_highway_,高速道路渋滞情報（東海：非公式）,"中央道：19時25分現在
■通行止：下り＠飯田山本ＩＣ→中津川ＩＣ（雨）
■通行止：上り＠中津川ＩＣ→飯田山本ＩＣ（雨）
×事故：下り＠瑞浪ＩＣ付近
×事故：下り＠内津峠ＰＡ付近
×事故：下り＠内津峠ＰＡ付近
https://t.co/1D218stw2P"
54,Fri Jul 06 10:26:58 +0000 2018,qrossover,Qross,ｲﾏｺｺ! L:岐阜県瑞浪市明世町山野内[ImacocoNow! Android]
55,Fri Jul 06 10:22:37 +0000 2018,tokai_highway_,高速道路渋滞情報（東海：非公式）,"中央道：19時15分現在
■通行止：下り＠飯田山本ＩＣ→中津川ＩＣ（雨）
■通行止：上り＠中津川ＩＣ→飯田山本ＩＣ（雨）
△渋滞：上り＠恵那峡ＳＡ付近 3km
×事故：下り＠瑞浪ＩＣ付近
×事故：下り＠内津峠ＰＡ付近
https://t.co/1D218stw2P 【続"
56,Fri Jul 06 10:21:21 +0000 2018,_pagemi_,めぐ,"テレビで岐阜県を中心に大雨ってやってたけど、瑞浪はそこまではって感じやな
ずーっと降ってるけど、小雨だし
夕べ2時半頃かなり降ってたけど

週末は美容院以外は寝るw
駄目人間になるw"
57,Fri Jul 06 09:57:37 +0000 2018,tokai_highway_,高速道路渋滞情報（東海：非公式）,"中央道：18時50分現在
■通行止：下り＠飯田山本ＩＣ→中津川ＩＣ（雨）
■通行止：上り＠中津川ＩＣ→飯田山本ＩＣ（雨）
×事故：下り＠内津峠ＰＡ付近
×事故：下り＠内津峠ＰＡ付近
×事故：下り＠瑞浪ＩＣ付近
https://t.co/1D218stw2P"
58,Fri Jul 06 09:32:02 +0000 2018,jsdfyv83r,まきこ,岐阜県瑞浪市/LINEのID交換急募中o(*^▽^*)o 男性/30代前半…探すならその日即会いも！マッチングアプリ♪[PR]⇒https://t.co/bkdsbMyham (18禁)女の子でも安心だよ♪男の子は優しいよ♪
59,Fri Jul 06 09:21:55 +0000 2018,r_21_gifu,岐阜県交通情報(非公式),"瑞浪大野瀬線(２０号線) 下り　区間：恵那市串原川ケ渡－恵那市串原大野
大雨のため通行止 (7/6 18:21)"
60,Fri Jul 06 09:21:54 +0000 2018,r_21_gifu,岐阜県交通情報(非公式),"瑞浪大野瀬線(２０号線) 上り　区間：恵那市串原大野－岐阜・愛知県境
大雨のため通行止 (7/6 18:21)"
61,Fri Jul 06 09:11:48 +0000 2018,Michael49429441,Macelle Yamamoto,https://t.co/CoslBk5Fww 場所: BCY - バードセンターやまもと瑞浪駅前店 https://t.co/X1Hvlomj7h
62,Fri Jul 06 09:02:56 +0000 2018,ibrn_bot,ｲﾊﾞﾗｰﾉbot,瑞浪市
63,Fri Jul 06 08:58:40 +0000 2018,211kei_bot,JR211系,"快速|中津川
停車駅
名古屋、金山、鶴舞、千種、大曽根、勝川、春日井、高蔵寺、多治見、土岐市、瑞浪、釜戸、武並、恵那、美乃坂本、中津川"
